Name,Rarity,Class,Element,Type,Impact,Range,Shield Duration,Handling,Reload Speed,Aim Assistance,Inventory Size,Airborne Effectiveness,Rounds Per Minute,Charge Time,Magazine,Perks,Stability,Zoom,Recoil,Accuracy,Draw Time,Velocity,Blast Radius,Swing Speed,Guard Efficiency,Guard Resistance,Charge Rate,Ammo Capacity
ANNUAL SKATE,Legendary,Any,Energy,Hand Cannon,84.0,40.0,,47.0,38.0,75.0,52.0,10.0,140.0,,10.0,"['Adaptive Frame', 'Fastdraw HCS', 'HitMark HCS', 'Sureshot HCS', 'Steady Rounds', 'Extended Mag', 'Outlaw']",49.0,14.0,88.0,,,,,,,,,
BOTTOM DOLLAR,Legendary,Any,Energy,Hand Cannon,92.0,60.0,,31.0,25.0,66.0,59.0,10.0,120.0,,8.0,"['Aggressive Frame', 'Fluted Barrel', 'High-Caliber Rounds', 'Killing Wind', 'Dragonfly', 'Aggressive Frame', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore', 'Arrowhead Brake', 'Full Bore', 'Accurized Rounds', 'Tactical Mag', 'Flared Magwell', 'Appended Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Rapid Hit', 'Outlaw', ""Fourth Time's the Charm"", 'Feeding Frenzy', 'Subsistence', 'Surplus', 'Killing Wind', 'Rangefinder', 'Pulse Monitor', 'Hip-Fire Grip', 'Quickdraw', 'Slideshot', 'Multikill Clip', 'Rampage', 'Explosive Payload', 'Thresh', 'Wellspring', 'Disruption Break', 'High-Impact Reserves', 'Demolitionist', 'Dragonfly', 'Eye of the Storm', 'Opening Shot', 'Unrelenting', 'Gun and Run', 'Stability', 'Range', 'Reload Speed', 'Handling', 'Backup Mag', 'Targeting Adjuster', 'Icarus Grip', 'Counterbalance Stock', 'Dragonfly Spec', 'Major Spec', 'Minor Spec', 'Full Auto Retrofit']",28.0,14.0,85.0,,,,,,,,,
CANTATA-57,Legendary,Any,Energy,Hand Cannon,84.0,46.0,,52.0,45.0,82.0,45.0,12.0,140.0,,11.0,"['Adaptive Frame', 'Fluted Barrel', 'Extended Mag', 'Eye of the Storm', 'Moving Target', 'Adaptive Frame', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Smallbore', 'Corkscrew Rifling', 'Arrowhead Brake', 'Chambered Compensator', 'Extended Barrel', 'Full Bore', 'Polygonal Rifling', 'Accurized Rounds', 'Tactical Mag', 'Appended Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell', 'Rapid Hit', 'Steady Hands', 'Eye of the Storm', 'Hip-Fire Grip', 'Heating Up', 'Compulsive Reloader', 'Timed Payload', 'Focused Fury', 'Vorpal Weapon', 'Opening Shot', 'Rangefinder', 'Moving Target', 'Suros Synergy', 'Range', 'Stability', 'Handling', 'Reload Speed', 'Targeting Adjuster', 'Icarus Grip', 'Backup Mag', 'Counterbalance Stock', 'Full Auto Retrofit', 'Major Spec', 'Minor Spec', 'Quick Access Sling']",51.0,14.0,85.0,,,,,,,,,
CRISIS INVERTED,Legendary,Any,Energy,Hand Cannon,84.0,40.0,,55.0,60.0,83.0,52.0,17.0,140.0,,10.0,"['Adaptive Frame', 'Arrowhead Brake', 'Extended Mag', 'Steady Hands', 'Focused Fury', 'One Quiet Moment', 'Omolon Fluid Dynamics', 'Adaptive Frame', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Smallbore', 'Corkscrew Rifling', 'Arrowhead Brake', 'Chambered Compensator', 'Extended Barrel', 'Full Bore', 'Polygonal Rifling', 'High-Caliber Rounds', 'Appended Mag', 'Armor-Piercing Rounds', 'Ricochet Rounds', 'Extended Mag', 'Alloy Magazine', 'Flared Magwell', 'Light Mag', 'Demolitionist', 'Rapid Hit', 'Outlaw', 'Stats for All', 'Moving Target', 'Compulsive Reloader', 'Steady Hands', 'Shoot to Loot', 'Ensemble', 'Heating Up', 'Tunnel Vision', 'Under Pressure', 'Vorpal Weapon', 'Adrenaline Junkie', 'Kill Clip', 'One for All', 'Opening Shot', 'Elemental Capacitor', 'Focused Fury', 'Rangefinder', 'Snapshot Sights', 'Turnabout', 'Harmony', 'Adaptive Munitions', 'One Quiet Moment', 'Omolon Fluid Dynamics', 'Range', 'Stability', 'Handling', 'Reload Speed', 'Icarus Grip', 'Targeting Adjuster', 'Backup Mag', 'Full Auto Retrofit', 'Minor Spec', 'Counterbalance Stock', 'Major Spec', 'Boss Spec']",50.0,14.0,92.0,,,,,,,,,
DAEDALUS CODE,Legendary,Any,Energy,Hand Cannon,84.0,32.0,,62.0,58.0,87.0,46.0,10.0,140.0,,13.0,"['Adaptive Frame', 'Fastdraw HCS', 'Crossfire HCS', 'High-Caliber Rounds', 'Extended Mag', 'Auto-Loading Holster']",34.0,14.0,97.0,,,,,,,,,
FINITE IMPACTOR,Legendary,Any,Energy,Hand Cannon,84.0,36.0,,45.0,40.0,74.0,49.0,16.0,140.0,,10.0,"['Adaptive Frame', 'Fastdraw HCS', 'Appended Mag', 'Tunnel Vision', 'Iron Gaze', 'Adaptive Frame', 'Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'Sureshot HCS', 'HitMark HCS', 'Crossfire HCS', 'Appended Mag', 'High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag', 'Armor-Piercing Rounds', 'Alloy Magazine', 'Flared Magwell', 'Light Mag', 'Heating Up', 'Killing Wind', 'Slideways', 'Under Pressure', 'Firmly Planted', 'No Distractions', 'Compulsive Reloader', 'Stats for All', 'Multikill Clip', 'One for All', 'Eye of the Storm', 'Iron Grip', 'Iron Reach', 'Elemental Capacitor', 'Focused Fury', 'Skulking Wolf', 'Suros Synergy', 'Range', 'Stability', 'Handling', 'Reload Speed', 'Targeting Adjuster', 'Icarus Grip', 'Backup Mag', 'Counterbalance Stock', 'Major Spec', 'Minor Spec', 'Full Auto Retrofit', 'Radar Tuner']",46.0,14.0,99.0,,,,,,,,,
FINITE IMPACTOR,Legendary,Any,Energy,Hand Cannon,84.0,36.0,,45.0,40.0,74.0,49.0,10.0,140.0,,10.0,"['Adaptive Frame', 'Fastdraw HCS', 'Sureshot HCS', 'Appended Mag', 'Drop Mag', 'Snapshot Sights']",46.0,14.0,99.0,,,,,,,,,
FRONTIER'S CRY,Legendary,Any,Energy,Hand Cannon,78.0,42.0,,41.0,47.0,75.0,48.0,19.0,180.0,,13.0,"['Precision Frame', 'Chambered Compensator', 'Tactical Mag', 'Rapid Hit', 'Adagio', 'Skulking Wolf', 'Precision Frame', 'Fluted Barrel', 'Smallbore', 'Corkscrew Rifling', 'Hammer-Forged Rifling', 'Arrowhead Brake', 'Chambered Compensator', 'Extended Barrel', 'Full Bore', 'Polygonal Rifling', 'Tactical Mag', 'Appended Mag', 'Extended Mag', 'Accurized Rounds', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell', 'Rapid Hit', 'Adaptive Munitions', 'Tunnel Vision', 'Steady Hands', 'Compulsive Reloader', 'Stats for All', 'Kill Clip', 'Adagio', 'One for All', 'Iron Reach', 'Iron Grip', 'Eye of the Storm', 'Skulking Wolf', 'Stability', 'Range', 'Reload Speed', 'Handling', 'Targeting Adjuster', 'Full Auto Retrofit', 'Backup Mag', 'Icarus Grip', 'Counterbalance Stock', 'Major Spec', 'Minor Spec', 'Freehand Grip']",59.0,14.0,94.0,,,,,,,,,
IGNEOUS HAMMER,Legendary,Any,Energy,Hand Cannon,92.0,65.0,,37.0,30.0,69.0,55.0,23.0,120.0,,9.0,"['Aggressive Frame', 'Arrowhead Brake', 'Extended Mag', 'Quickdraw', 'Celerity', 'Aggressive Frame', 'Corkscrew Rifling', 'Fluted Barrel', 'Smallbore', 'Polygonal Rifling', 'Chambered Compensator', 'Extended Barrel', 'Hammer-Forged Rifling', 'Arrowhead Brake', 'Full Bore', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Extended Mag', 'Appended Mag', 'Flared Magwell', 'Ricochet Rounds', 'Light Mag', 'Alloy Magazine', 'Outlaw', 'Rapid Hit', 'Subsistence', 'Quickdraw', 'Killing Wind', 'Encore', 'Overflow', 'Rampage', 'One for All', 'Snapshot Sights', 'Moving Target', 'Elemental Capacitor', 'Opening Shot', 'Celerity', 'Range', 'Stability', 'Handling', 'Reload Speed', 'Icarus Grip', 'Targeting Adjuster', 'Backup Mag', 'Counterbalance Stock', 'Rampage Spec', 'Major Spec', 'Minor Spec', 'Full Auto Retrofit']",35.0,14.0,95.0,,,,,,,,,
IGNEOUS HAMMER (ADEPT),Legendary,Any,Energy,Hand Cannon,92.0,65.0,,37.0,30.0,69.0,55.0,23.0,120.0,,9.0,"['Aggressive Frame', 'Arrowhead Brake', 'Extended Mag', 'Quickdraw', 'Celerity', 'Aggressive Frame', 'Corkscrew Rifling', 'Fluted Barrel', 'Smallbore', 'Polygonal Rifling', 'Chambered Compensator', 'Extended Barrel', 'Hammer-Forged Rifling', 'Arrowhead Brake', 'Full Bore', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Extended Mag', 'Appended Mag', 'Flared Magwell', 'Ricochet Rounds', 'Light Mag', 'Alloy Magazine', 'Outlaw', 'Rapid Hit', 'Subsistence', 'Quickdraw', 'Killing Wind', 'Encore', 'Overflow', 'Rampage', 'One for All', 'Snapshot Sights', 'Moving Target', 'Elemental Capacitor', 'Opening Shot', 'Celerity', 'Range', 'Stability', 'Handling', 'Reload Speed', 'Adept Icarus Grip', 'Adept Range', 'Adept Stability', 'Backup Mag', 'Adept Handling', 'Targeting Adjuster', 'Adept Targeting', 'Icarus Grip']",35.0,14.0,95.0,,,,,,,,,
IKELOS_HC_V1.0.1,Legendary,Any,Energy,Hand Cannon,78.0,32.0,,33.0,33.0,75.0,53.0,10.0,180.0,,12.0,"['Precision Frame', 'Corkscrew Rifling', 'Smallbore', 'Fluted Barrel', 'Seraph Rounds', 'Rampage', 'Threat Detector']",55.0,14.0,91.0,,,,,,,,,
IKELOS_HC_V1.0.2,Legendary,Any,Energy,Hand Cannon,78.0,32.0,,33.0,33.0,75.0,53.0,10.0,180.0,,12.0,"['Precision Frame', 'Corkscrew Rifling', 'Seraph Rounds', 'Threat Detector', 'Rampage', 'Precision Frame', 'Fluted Barrel', 'Smallbore', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Arrowhead Brake', 'Full Bore', 'Seraph Rounds', 'Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Flared Magwell', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Threat Detector', 'Subsistence', 'Triple Tap', 'Slideways', 'Genesis', 'Disruption Break', 'Vorpal Weapon', 'Rampage', 'Eye of the Storm', 'High-Impact Reserves', 'Range', 'Stability', 'Reload Speed', 'Handling', 'Backup Mag', 'Full Auto Retrofit', 'Major Spec', 'Targeting Adjuster', 'Rampage Spec', 'Minor Spec', 'Boss Spec', 'Counterbalance Stock']",55.0,14.0,91.0,,,,,,,,,
IMSET HC4,Legendary,Any,Energy,Hand Cannon,84.0,30.0,,68.0,60.0,76.0,60.0,10.0,140.0,,13.0,"['Adaptive Frame', 'TrueSight HCS', 'Sureshot HCS', 'Flared Magwell', 'High-Caliber Rounds', 'Dragonfly']",40.0,14.0,80.0,,,,,,,,,
JACK QUEEN KING 3,Legendary,Any,Energy,Hand Cannon,84.0,42.0,,70.0,59.0,83.0,57.0,10.0,140.0,,13.0,"['Adaptive Frame', 'Fastdraw HCS', 'TrueSight HCS', 'HitMark HCS', 'Ricochet Rounds', 'Tactical Mag', 'Accurized Rounds', 'Pulse Monitor', 'Rampage', 'Adaptive Frame', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Fastdraw HCS', 'Crossfire HCS', 'Sureshot HCS', 'Appended Mag', 'Flared Magwell', 'Ricochet Rounds', 'Extended Mag', 'Alloy Magazine', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Light Mag', 'Subsistence', 'Auto-Loading Holster', 'Ambitious Assassin', 'Demolitionist', 'Pulse Monitor', 'Threat Detector', 'Rampage', 'Swashbuckler', 'Dragonfly', 'Surrounded', 'Snapshot Sights', 'High-Impact Reserves']",38.0,14.0,100.0,,,,,,,,,
JACK QUEEN KING 3,Legendary,Any,Energy,Hand Cannon,84.0,39.0,,70.0,59.0,91.0,57.0,10.0,140.0,,13.0,"['Adaptive Frame', 'Fastdraw HCS', 'TrueSight HCS', 'HitMark HCS', 'Ricochet Rounds', 'Tactical Mag', 'Accurized Rounds', 'Pulse Monitor']",35.0,14.0,100.0,,,,,,,,,
KINDLED ORCHID,Legendary,Any,Energy,Hand Cannon,84.0,39.0,,41.0,43.0,76.0,60.0,10.0,140.0,,10.0,"['Adaptive Frame', 'Corkscrew Rifling', 'Drop Mag', 'Kill Clip', 'Rampage', 'Adaptive Frame', 'Hammer-Forged Rifling', 'Extended Barrel', 'Full Bore', 'Smallbore', 'Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling', 'Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Flared Magwell', 'Drop Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Outlaw', 'Kill Clip', 'Shield Disorient', 'Rangefinder', 'Quickdraw', 'Triple Tap', 'Surrounded', 'Rapid Hit', 'Rampage', 'Disruption Break', 'Explosive Payload', 'Ambitious Assassin', 'Threat Detector']",51.0,14.0,99.0,,,,,,,,,
LUNA'S HOWL,Legendary,Any,Energy,Hand Cannon,84.0,41.0,,35.0,54.0,79.0,60.0,10.0,140.0,,10.0,"['Precision Frame', 'Polygonal Rifling', 'Drop Mag', 'Zen Moment', 'Magnificent Howl']",57.0,14.0,95.0,,,,,,,,,
MINUET-42,Legendary,Any,Energy,Hand Cannon,84.0,42.0,,36.0,44.0,65.0,60.0,10.0,140.0,,10.0,"['Adaptive Frame', 'SteadyHand HCS', 'TrueSight HCS', 'Crossfire HCS', 'Drop Mag', 'Flared Magwell', 'Opening Shot']",45.0,14.0,90.0,,,,,,,,,
NATION OF BEASTS,Legendary,Any,Energy,Hand Cannon,84.0,40.0,,42.0,45.0,71.0,51.0,10.0,140.0,,10.0,"['Adaptive Frame', 'Full Bore', 'Light Mag', 'Outlaw', 'Dragonfly', 'Adaptive Frame', 'Fluted Barrel', 'Smallbore', 'Corkscrew Rifling', 'Extended Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Arrowhead Brake', 'Chambered Compensator', 'Polygonal Rifling', 'Accurized Rounds', 'Tactical Mag', 'Extended Mag', 'Drop Mag', 'Steady Rounds', 'Alloy Magazine', 'Outlaw', 'Ambitious Assassin', 'Opening Shot', 'Zen Moment', 'Explosive Payload', 'Kill Clip', 'Rampage', 'Triple Tap', 'Range', 'Stability', 'Handling', 'Reload Speed', 'Backup Mag', 'Targeting Adjuster', 'Icarus Grip', 'Minor Spec', 'Dragonfly Spec', 'Major Spec', 'Rampage Spec', 'Counterbalance Stock']",57.0,14.0,95.0,,,,,,,,,
NATURE OF THE BEAST,Legendary,Any,Energy,Hand Cannon,78.0,33.0,,35.0,25.0,76.0,57.0,10.0,180.0,,13.0,"['Precision Frame', 'Crossfire HCS', 'SteadyHand HCS', 'Appended Mag', 'Accurized Rounds', 'Dragonfly']",61.0,14.0,80.0,,,,,,,,,
NATURE OF THE BEAST,Legendary,Any,Energy,Hand Cannon,78.0,33.0,,35.0,25.0,76.0,57.0,10.0,180.0,,13.0,"['Precision Frame', 'Crossfire HCS', 'Appended Mag', 'Subsistence', 'Dragonfly', 'Precision Frame', 'Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS', 'Tactical Mag', 'Appended Mag', 'Extended Mag', 'Accurized Rounds', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell', 'Subsistence', 'Snapshot Sights', 'Quickdraw', 'Under Pressure', 'Hip-Fire Grip', 'Demolitionist', 'Vorpal Weapon', 'Dragonfly', 'Rangefinder', 'High-Impact Reserves', 'Handling', 'Range', 'Stability', 'Reload Speed', 'Targeting Adjuster', 'Backup Mag', 'Dragonfly Spec', 'Full Auto Retrofit', 'Counterbalance Stock', 'Icarus Grip', 'Major Spec', 'Minor Spec']",61.0,14.0,80.0,,,,,,,,,
NOT FORGOTTEN,Legendary,Any,Energy,Hand Cannon,84.0,41.0,,35.0,54.0,79.0,60.0,10.0,140.0,,10.0,"['Precision Frame', 'Extended Barrel', 'Accurized Rounds', 'Zen Moment', 'Magnificent Howl']",57.0,14.0,95.0,,,,,,,,,
OLDER SISTER III,Legendary,Any,Energy,Hand Cannon,84.0,42.0,,47.0,33.0,61.0,50.0,10.0,140.0,,11.0,"['Adaptive Frame', 'HitMark HCS', 'SteadyHand HCS', 'Crossfire HCS', 'Alloy Magazine', 'Armor-Piercing Rounds', 'Ambitious Assassin']",41.0,14.0,90.0,,,,,,,,,
OPTATIVE,Legendary,Any,Energy,Hand Cannon,78.0,34.0,,26.0,53.0,67.0,54.0,10.0,180.0,,12.0,"['Precision Frame', 'Fluted Barrel', 'Corkscrew Rifling', 'Tactical Mag', 'Grave Robber', 'Zen Moment', 'Precision Frame', 'Hammer-Forged Rifling', 'Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Polygonal Rifling', 'Smallbore', 'Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell', 'Rapid Hit', 'Outlaw', 'Grave Robber', 'Under Pressure', 'Underdog', ""Fourth Time's the Charm"", 'Kill Clip', 'Zen Moment', 'Opening Shot', 'Shield Disorient', 'Mulligan', 'Demolitionist']",55.0,14.0,97.0,,,,,,,,,
POSTERITY,Legendary,Any,Energy,Hand Cannon,78.0,39.0,,36.0,57.0,79.0,53.0,10.0,180.0,,13.0,"['Precision Frame', 'Polygonal Rifling', 'Extended Mag', 'Genesis', 'One for All', 'Precision Frame', 'Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling', 'Smallbore', 'Arrowhead Brake', 'Chambered Compensator', 'Extended Barrel', 'Hammer-Forged Rifling', 'Full Bore', 'Accurized Rounds', 'Tactical Mag', 'Flared Magwell', 'Appended Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Rapid Hit', 'Reconstruction', 'Feeding Frenzy', ""Fourth Time's the Charm"", 'Killing Wind', 'Surplus', 'Demolitionist', 'Rampage', 'Redirection', 'One for All', 'Opening Shot', 'Unrelenting', 'Range', 'Stability', 'Reload Speed', 'Handling', 'Backup Mag', 'Targeting Adjuster', 'Rampage Spec', 'Minor Spec', 'Major Spec', 'Full Auto Retrofit', 'Icarus Grip', 'Boss Spec']",60.0,14.0,100.0,,,,,,,,,
SHATTERED PEACE,Legendary,Any,Energy,Hand Cannon,84.0,33.0,,66.0,55.0,84.0,51.0,10.0,140.0,,12.0,"['Adaptive Frame', 'TrueSight HCS', 'HitMark HCS', 'High-Caliber Rounds', 'Armor-Piercing Rounds', 'Zen Moment']",36.0,14.0,89.0,,,,,,,,,
THE DEFIANT,Legendary,Any,Energy,Hand Cannon,84.0,33.0,,63.0,55.0,85.0,54.0,10.0,140.0,,12.0,"['Adaptive Frame', 'TrueSight HCS', 'Fastdraw HCS', 'Sureshot HCS', 'Accurized Rounds', 'Drop Mag', 'Threat Detector']",34.0,14.0,89.0,,,,,,,,,
THE PALINDROME,Legendary,Any,Energy,Hand Cannon,84.0,50.0,,50.0,42.0,79.0,50.0,21.0,140.0,,10.0,"['Adaptive Frame', 'Arrowhead Brake', 'Extended Mag', 'Bottomless Grief', 'One for All', 'Adaptive Frame', 'Corkscrew Rifling', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Smallbore', 'Extended Barrel', 'Polygonal Rifling', 'Arrowhead Brake', 'Chambered Compensator', 'Full Bore', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag', 'Flared Magwell', 'Light Mag', 'Alloy Magazine', 'Subsistence', 'Overflow', 'Outlaw', 'Bottomless Grief', 'Quickdraw', 'Killing Wind', 'Compulsive Reloader', 'Stats for All', 'One for All', 'Thresh', 'Rampage', 'High-Impact Reserves', 'Unrelenting', 'Rangefinder', 'Turnabout', 'Stunning Recovery', ""Vanguard's Vindication"", 'Range', 'Stability', 'Reload Speed', 'Handling', 'Targeting Adjuster', 'Icarus Grip', 'Backup Mag', 'Rampage Spec', 'Major Spec', 'Counterbalance Stock', 'Minor Spec', 'Full Auto Retrofit']",58.0,14.0,98.0,,,,,,,,,
THE PALINDROME (ADEPT),Legendary,Any,Energy,Hand Cannon,84.0,50.0,,50.0,42.0,79.0,50.0,21.0,140.0,,10.0,"['Adaptive Frame', 'Arrowhead Brake', 'Extended Mag', 'Bottomless Grief', 'One for All', 'Adaptive Frame', 'Corkscrew Rifling', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Smallbore', 'Extended Barrel', 'Polygonal Rifling', 'Arrowhead Brake', 'Chambered Compensator', 'Full Bore', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag', 'Flared Magwell', 'Light Mag', 'Alloy Magazine', 'Subsistence', 'Overflow', 'Outlaw', 'Bottomless Grief', 'Quickdraw', 'Killing Wind', 'Compulsive Reloader', 'Stats for All', 'One for All', 'Thresh', 'Rampage', 'High-Impact Reserves', 'Unrelenting', 'Rangefinder', 'Turnabout', 'Stunning Recovery', ""Vanguard's Vindication"", 'Range', 'Stability', 'Handling', 'Reload Speed', 'Adept Range', 'Adept Icarus Grip', 'Adept Big Ones Spec', 'Adept Stability', 'Targeting Adjuster', 'Adept Targeting', 'Icarus Grip', 'Minor Spec']",58.0,14.0,98.0,,,,,,,,,
THIN LINE,Legendary,Any,Energy,Hand Cannon,92.0,60.0,,22.0,21.0,60.0,45.0,10.0,120.0,,9.0,"['Aggressive Frame', 'Fastdraw HCS', 'Tactical Mag', 'Ricochet Rounds', 'Under Pressure', 'Dragonfly', 'Aggressive Frame', 'Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS', 'Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag', 'Moving Target', 'Quickdraw', 'Auto-Loading Holster', 'Slideshot', 'Threat Detector', 'Triple Tap', 'Dragonfly', 'Outlaw', 'Opening Shot', 'Snapshot Sights', 'Rampage', 'Zen Moment']",17.0,14.0,88.0,,,,,,,,,
TRUST,Legendary,Any,Energy,Hand Cannon,78.0,37.0,,35.0,50.0,78.0,60.0,10.0,180.0,,12.0,"['Precision Frame', 'Smallbore', 'Light Mag', 'Genesis', 'Explosive Payload', 'Precision Frame', 'Hammer-Forged Rifling', 'Smallbore', 'Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Polygonal Rifling', 'Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell', 'Dragonfly', 'Outlaw', 'Opening Shot', 'Snapshot Sights', 'Triple Tap', 'Explosive Payload', 'Rampage', 'Rapid Hit', 'Zen Moment', 'Hip-Fire Grip', 'Credence', 'Blind Faith', 'Doubt']",56.0,14.0,96.0,,,,,,,,,
WAKING VIGIL,Legendary,Any,Energy,Hand Cannon,84.0,37.0,,63.0,56.0,82.0,46.0,10.0,140.0,,12.0,"['Adaptive Frame', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Armor-Piercing Rounds', 'Ricochet Rounds', 'Slideshot', 'Opening Shot', 'Adaptive Frame', 'Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS', 'High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag', 'Appended Mag', 'Armor-Piercing Rounds', 'Flared Magwell', 'Light Mag', 'Alloy Magazine', 'Rapid Hit', 'Outlaw', 'Surplus', 'Opening Shot', 'Killing Wind', 'Rangefinder', 'Grave Robber', 'Triple Tap', 'Hip-Fire Grip', 'Zen Moment', 'Slideshot', 'Kill Clip', 'Dragonfly', 'Outlaw', 'Disruption Break', 'Vorpal Weapon', 'Snapshot Sights', 'Opening Shot', 'Auto-Loading Holster', 'Slideshot', 'Range', 'Stability', 'Handling', 'Reload Speed', 'Icarus Grip', 'Targeting Adjuster', 'Dragonfly Spec', 'Backup Mag', 'Counterbalance Stock', 'Minor Spec', 'Major Spec', 'Full Auto Retrofit']",43.0,14.0,98.0,,,,,,,,,
ZAOULI'S BANE,Legendary,Any,Energy,Hand Cannon,84.0,43.0,,46.0,43.0,77.0,50.0,19.0,140.0,,10.0,"['Adaptive Frame', 'Fluted Barrel', 'Steady Rounds', 'Explosive Payload', 'One for All', 'Runneth Over', 'Adaptive Frame', 'Polygonal Rifling', 'Extended Barrel', 'Chambered Compensator', 'Smallbore', 'Corkscrew Rifling', 'Full Bore', 'Hammer-Forged Rifling', 'Arrowhead Brake', 'Fluted Barrel', 'Steady Rounds', 'Alloy Magazine', 'Appended Mag', 'Flared Magwell', 'Extended Mag', 'Tactical Mag', 'Accurized Rounds', 'Ensemble', 'Hip-Fire Grip', 'Gutshot Straight', 'Pugilist', 'Opening Shot', 'Well-Rounded', 'Explosive Payload', 'Ensemble', 'Gutshot Straight', 'Pugilist', 'Well-Rounded', 'Eye of the Storm', 'Surrounded', 'Demolitionist', 'Focused Fury', 'Firefly', 'One for All', 'Incandescent', 'Surrounded', 'Eye of the Storm', 'Demolitionist', 'Focused Fury', 'Firefly', 'One for All', 'Incandescent', 'Runneth Over', 'Range', 'Stability', 'Reload Speed', 'Handling', 'Minor Spec', 'Backup Mag', 'Major Spec', 'Targeting Adjuster', 'Counterbalance Stock', 'Full Auto Retrofit', 'Icarus Grip', 'Boss Spec']",52.0,14.0,89.0,,,,,,,,,
ZAOULI'S BANE (HARROWED),Legendary,Any,Energy,Hand Cannon,84.0,43.0,,46.0,43.0,77.0,50.0,19.0,140.0,,10.0,"['Adaptive Frame', 'Fluted Barrel', 'Steady Rounds', 'Explosive Payload', 'One for All', 'Runneth Over', 'Adaptive Frame', 'Corkscrew Rifling', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore', 'Arrowhead Brake', 'Chambered Compensator', 'Extended Barrel', 'Full Bore', 'Tactical Mag', 'Extended Mag', 'Flared Magwell', 'Appended Mag', 'Accurized Rounds', 'Steady Rounds', 'Alloy Magazine', 'Ensemble', 'Explosive Payload', 'Pugilist', 'Well-Rounded', 'Gutshot Straight', 'Opening Shot', 'Hip-Fire Grip', 'Ensemble', 'Gutshot Straight', 'Pugilist', 'Well-Rounded', 'Demolitionist', 'Focused Fury', 'Firefly', 'Incandescent', 'One for All', 'Eye of the Storm', 'Surrounded', 'Surrounded', 'Eye of the Storm', 'Demolitionist', 'Focused Fury', 'Firefly', 'One for All', 'Incandescent', 'Runneth Over', 'Range', 'Stability', 'Reload Speed', 'Handling', 'Adept Big Ones Spec', 'Adept Range', 'Adept Reload', 'Minor Spec', 'Backup Mag', 'Adept Stability', 'Full Auto Retrofit', 'Targeting Adjuster']",52.0,14.0,89.0,,,,,,,,,
